paper_id,title,authors,year,journal,source,doi,pmcid,pmid,arxiv_id,biorxiv_id,url,has_pdf,pdf_url,reference_count,grobid_processed,file_size_mb,local_pdf_path,grobid_xml_path,date_added
baa27779bde9,Phalangeal cortical bone distribution reveals different dexterous and climbing behaviors in &lt;i&gt;Australopithecus sediba&lt;/i&gt; and &lt;i&gt;Homo naledi&lt;/i&gt;.,"Syeda SM, Dunmore CJ, Skinner MM, Berger LR, Churchill SE, Zipfel B, Kivell TL.",2025,,EuropePMC,10.1126/sciadv.adt1201,PMC12077519,40367176,,,https://doi.org/10.1126/sciadv.adt1201,False,https://europepmc.org/articles/PMC12077519/pdf,0,False,0,,,2026-03-16T19:04:32.545371
8b17d361c137,Stiffness of the human foot and evolution of the transverse arch,Madhusudhan Venkadesan; Marcelo A. Dias; Dhiraj K. Singh; Mahesh M. Bandi; Shreyas Mandre,2017,arXiv (q-bio),arXiv,10.1038/s41586-020-2053-y,,,1705.10371v1,,https://doi.org/10.1038/s41586-020-2053-y,True,https://arxiv.org/pdf/1705.10371v1,0,False,6.3,data/raw/Venkadesan_2017_Stiffness_of_the_human_foot.pdf,,2026-03-16T19:04:33.142414
216e9a2b1cbf,SAI: A Python Package for Statistics for Adaptive Introgression.,"Huang X, Chen S, Hackl J, Kuhlwilm M.",2025,,EuropePMC,10.1093/molbev/msaf295,PMC12662230,41258824,,,https://doi.org/10.1093/molbev/msaf295,False,https://europepmc.org/articles/PMC12662230/pdf,0,False,0,,,2026-03-16T19:04:51.100190
00fc2c1b36f5,"Recurrent gene flow between Neanderthals and modern humans over the past 200,000 years.","Li L, Comi TJ, Bierman RF, Akey JM.",2024,,EuropePMC,10.1126/science.adi1768,PMC12885488,38991054,,,https://doi.org/10.1126/science.adi1768,False,https://europepmc.org/articles/PMC12885488/pdf,0,False,0,,,2026-03-16T19:04:51.100251
e2e1dbf23a1f,Association of Chromosome 3p21.32 Haplotype Blocks Introgressed from Neanderthals with Critical COVID-19 in a Spanish Cohort.,"Vázquez-Coto D, García-Clemente M, Hermida-Valverde T, Albaiceta GM, Amado L, Vega-Prado LM, García-Lago C, Herrero-Puente P, Martínez-Borra J, Lorca R, Gómez J, Coto E.",2025,,EuropePMC,10.3390/life15111733,PMC12653570,41302157,,,https://doi.org/10.3390/life15111733,False,https://europepmc.org/articles/PMC12653570/pdf,0,False,0,,,2026-03-16T19:04:51.100279
e79957e22fc8,Human dispersal into East Eurasia: ancient genome insights and the need for research on physiological adaptations.,"Abood S, Oota H.",2025,,EuropePMC,10.1186/s40101-024-00382-3,PMC11829451,39953642,,,https://doi.org/10.1186/s40101-024-00382-3,False,https://europepmc.org/articles/PMC11829451/pdf,0,False,0,,,2026-03-16T19:04:51.100301
70ed9c8f137c,Recent advances in methods to characterize archaic introgression in modern humans.,"Peede D, Bañuelos MM, Medina Tretmanis J, Miyagi M, Huerta-Sánchez E.",2026,,EuropePMC,10.1101/gr.278993.124,PMC12863057,41545083,,,https://doi.org/10.1101/gr.278993.124,False,https://europepmc.org/articles/PMC12863057/pdf,0,False,0,,,2026-03-16T19:04:51.100319
5ff55e0ab306,Introgressed mitochondrial fragments from archaic hominins alter nuclear genome function in modern humans.,"Zhu Q, Zhang J, Zhou W, Liang SA, Wang S, Cai X, Li F, Li J, Zhang G, Feng H, Fu Q, Akey JM, Zhang F, Jin L, Xu S, Zheng HX, Chen L.",2026,,EuropePMC,10.1126/sciadv.aea0706,PMC12871456,41637520,,,https://doi.org/10.1126/sciadv.aea0706,False,https://europepmc.org/articles/PMC12871456/pdf,0,False,0,,,2026-03-16T19:04:51.100338
dd2dc8ca7043,Inferences about fossil hominin locomotion through 3D morphometric analysis of wrist ligament insertion sites.,"Casado A, Martínez-Liria X, San-Millán M, Menés L, Ciurana N, García-Cuesta M, Rodríguez P, Pastor F, Cabo R, Potau JM.",2025,,EuropePMC,10.1038/s41598-025-26487-y,PMC12660750,41309841,,,https://doi.org/10.1038/s41598-025-26487-y,False,https://europepmc.org/articles/PMC12660750/pdf,0,False,0,,,2026-03-16T19:05:15.843876
f520790667ac,An identity for the inscrutable Homo habilis.,Tattersall I.,2026,,EuropePMC,10.1002/ar.70145,PMC12882051,41578839,,,https://doi.org/10.1002/ar.70145,False,https://europepmc.org/articles/PMC12882051/pdf,0,False,0,,,2026-03-16T19:05:15.843926
c164e6523589,The StW 573 Little Foot Fossil Should Not Be Attributed to Australopithecus prometheus.,"Martin JM, Morris-Obst L, Leece AB, Baker S, Herries AIR, Strait DS.",2025,,EuropePMC,10.1002/ajpa.70177,PMC12663899,41316916,,,https://doi.org/10.1002/ajpa.70177,False,https://europepmc.org/articles/PMC12663899/pdf,0,False,0,,,2026-03-16T19:05:15.843937
201213675655,"New discoveries of Australopithecus and Homo from Ledi-Geraru, Ethiopia.","Villmoare B, Delezene LK, Rector AL, DiMaggio EN, Campisano CJ, Feary DA, Ali BM, Chupik D, Deino AL, Garello DI, Hayidara MA, Locke EM, Omar OA, Robinson JR, Scott E, Smail IE, Geleta Terefe K, Werdelin L, Kimbel WH, Arrowsmith JR, Reed KE.",2026,,EuropePMC,10.1038/s41586-025-09390-4,PMC12893913,40804525,,,https://doi.org/10.1038/s41586-025-09390-4,False,https://europepmc.org/articles/PMC12893913/pdf,0,False,0,,,2026-03-16T19:05:15.843948
6485143b99a3,Testing the taxonomy of Dmanisi hominin fossils through dental crown area.,"Nery V, Neves W, Valota L, Hubbe M.",2025,,EuropePMC,10.1371/journal.pone.0336484,PMC12674552,41335611,,,https://doi.org/10.1371/journal.pone.0336484,False,https://europepmc.org/articles/PMC12674552/pdf,0,False,0,,,2026-03-16T19:05:15.843955
c8538f032471,Earliest evidence of hominin bipedalism in &lt;i&gt;Sahelanthropus tchadensis&lt;/i&gt;.,"Williams SA, Wang X, Araiza I, Guerra JS, Meyer MR, Spear JK.",2026,,EuropePMC,10.1126/sciadv.adv0130,PMC12758524,41481701,,,https://doi.org/10.1126/sciadv.adv0130,False,https://europepmc.org/articles/PMC12758524/pdf,0,False,0,,,2026-03-16T19:05:15.843965
884ede58a460,The speciation of Australopithecus and Paranthropus was caused by introgression from the Gorilla lineage,Johan Nygren,2018,arXiv (q-bio),arXiv,,,,1808.06307v2,,https://arxiv.org/pdf/1808.06307v2,True,https://arxiv.org/pdf/1808.06307v2,0,False,0.68,data/raw/Nygren_2018_The_speciation_of_Australopithecus_and.pdf,,2026-03-16T19:05:16.469211
6f88a2ae7849,Hominin evolution was caused by introgression from Gorilla,Johan Nygren,2018,arXiv (q-bio),arXiv,10.4236/ns.2018.109033,,,1810.04796v1,,https://doi.org/10.4236/ns.2018.109033,True,https://arxiv.org/pdf/1810.04796v1,0,False,0.65,data/raw/Nygren_2018_Hominin_evolution_was_caused_by.pdf,,2026-03-16T19:05:16.469287
